property_type_en,rooms_en,reg_type_en,area_name_en,median_price_sqft,transaction_count,growth_2023_to_2024,recent_growth,growth_score,price_score,volume_score,investment_score
Villa,5 B/R,Existing Properties,Al Hebiah First,1165.769230769231,41,2.612298668275992,2.612298668275992,33.16548257804254,86.29500941637072,0.48094264758927496,39.25088438564608
Villa,3 B/R,Off-Plan Properties,Jumeirah First,1636.2820512820515,67,,,38.972589541993,77.93473310928829,0.7935553685223037,39.12816682328815
Villa,4 B/R,Off-Plan Properties,Dubai Investment Park First,1153.9269788182833,458,-3.7734154535610687,-3.7734154535610687,30.105820914819123,86.50542769636594,5.4947697487074665,39.09291062457893
Villa,4 B/R,Off-Plan Properties,Island 2,1623.7235228539575,19,,,38.972589541993,78.15787850106483,0.21642419141517374,39.07968420539969
Villa,3 B/R,Existing Properties,Wadi Al Safa 3,1079.721293199554,133,-3.307249029195397,-3.307249029195397,30.329180669123826,87.82394657254216,1.5871107370446074,38.7962783868211
Villa,3 B/R,Existing Properties,Me'Aisem First,1305.824507617986,204,1.8975037975322628,1.8975037975322628,32.822994577271515,83.8064463811609,2.4407839365155706,38.759288532559985
Villa,4 B/R,Off-Plan Properties,Wadi Al Safa 7,741.9504830917874,500,-18.441032732982556,-18.441032732982556,23.077954426525928,93.82560514135699,5.999759528676205,38.57881521875271
Villa,4 B/R,Existing Properties,Me'Aisem First,1528.355165366035,269,5.543855385903074,5.543855385903074,34.570113529468266,79.85242492953972,3.2223157388481423,38.42823603841885
Villa,4 B/R,Off-Plan Properties,Wadi Al Safa 3,1701.0256410256409,1261,-2.7445783911314914,-2.7445783911314914,30.59877961255575,76.7843408653982,15.149693399062162,38.304752784454195
Villa,2 B/R,Existing Properties,Hadaeq Sheikh Mohammed Bin Rashid,1821.273225566704,94,,,38.972589541993,74.64772951668546,1.1181916556450644,38.206993002931846
Villa,5 B/R,Off-Plan Properties,Jumeirah First,1823.452712746191,68,,,38.972589541993,74.60900344114856,0.8055789347120356,38.13285263608418
Villa,7 B/R,Off-Plan Properties,Madinat Al Mataar,1855.4280471943516,7,,,38.972589541993,74.04085180033539,0.07214139713839125,37.8157196363255
Villa,3 B/R,Existing Properties,Jumeirah First,2051.1324786324785,27,18.745298004066434,18.745298004066434,40.89547465703753,70.56349039802556,0.3126127209330287,37.58975952640929
Villa,4 B/R,Existing Properties,Saih Shuaib 2,576.5737643998514,14,-22.21574424689914,-22.21574424689914,21.269332886553816,96.76409056140635,0.15630636046651436,37.568221595136734
Villa,4 B/R,Existing Properties,Wadi Al Safa 3,1476.1752136752136,317,-3.976102120604153,-3.976102120604153,30.00870528875664,80.77958099162112,3.799446915955272,36.99724579618004
Villa,3 B/R,Off-Plan Properties,Island 2,2056.5022296544034,64,,,38.972589541993,70.4680783278622,0.7574846699531081,36.880956249146486
Villa,6 B/R,Off-Plan Properties,Madinat Al Mataar,1829.0133779264213,23,7.999980251432182,7.999980251432182,35.746945274167054,74.51019912523805,0.26451845617410125,36.70474153847305
Villa,4 B/R,Existing Properties,Al Hebiah First,1178.761612783352,198,-13.206363274501998,-13.206363274501998,25.58610263926675,86.06415512549968,2.3686425393771793,36.527416101232035
Villa,4 B/R,Existing Properties,Al Merkadh,2362.936640654032,37,21.443264786145445,21.443264786145445,42.188182939036636,65.02321851902062,0.4328483828303475,36.46880840788691
Villa,5 B/R,Off-Plan Properties,Al Hebiah Fourth,2221.048402081011,21,,,38.972589541993,67.54435041485885,0.24047132379463748,35.90043520601379
Villa,5 B/R,Existing Properties,Jumeirah First,2275.1230955035303,10,,,38.972589541993,66.58352775812381,0.10821209570758687,35.58573656337586
